MLS #,Cat,Status,Address,City,County,Building Units Total,Sub Type,Status Contractual Search Date,List Office Name,Current Price
PAPH2097808,MUL,ACT,1228 N Carlisle St,Philadelphia,"Philadelphia, PA",3,Other,3/25/2022,Coldwell Banker Hearthside Realtors-Collegeville (CBHS-CO),"$724,900 "
PAPH2097802,MUL,ACT,1226 N Carlisle St,Philadelphia,"Philadelphia, PA",3,Other,3/25/2022,Coldwell Banker Hearthside Realtors-Collegeville (CBHS-CO),"$724,900 "
PAPH2097674,MUL,ACT,1230 N Carlisle St,Philadelphia,"Philadelphia, PA",3,Other,3/25/2022,Coldwell Banker Hearthside Realtors-Collegeville (CBHS-CO),"$724,900 "
PAPH2097650,MUL,ACT,1220 N Carlisle St,Philadelphia,"Philadelphia, PA",3,Other,3/25/2022,Coldwell Banker Hearthside Realtors-Collegeville (CBHS-CO),"$724,900 "
PAPH2097636,MUL,ACT,1231 N 15th St,Philadelphia,"Philadelphia, PA",3,Other,3/25/2022,Coldwell Banker Hearthside Realtors-Collegeville (CBHS-CO),"$839,900 "
PAPH2097620,MUL,ACT,1229 N 15th St,Philadelphia,"Philadelphia, PA",3,Other,3/25/2022,Coldwell Banker Hearthside Realtors-Collegeville (CBHS-CO),"$824,900 "
PAPH2097512,MUL,ACT,3210-12 Frankford Ave,Philadelphia,"Philadelphia, PA",3,Other,3/23/2022,Mike Dunphy Sells Real Estate Inc. (MDSREINC),"$549,000 "
PAPH2097160,MUL,ACT,1227 N 15th St,Philadelphia,"Philadelphia, PA",3,Other,3/24/2022,Coldwell Banker Hearthside Realtors-Collegeville (CBHS-CO),"$824,900 "
PAPH2096322,MUL,ACT,251 Fulton St,Philadelphia,"Philadelphia, PA",4,Quadruplex,3/22/2022,Keller Williams Philly (55962),"$1,050,000 "
PAPH2094868,MUL,ACT,5412 Springfield Ave,Philadelphia,"Philadelphia, PA",2,Quadruplex,3/17/2022,BHHS Fox & Roach-Art Museum (61016),"$990,000 "
PAPH2094662,MUL,ACT,1016 Cottman Ave,Philadelphia,"Philadelphia, PA",3,Other,3/17/2022,Home Max Realty (HMEMX1),"$1,680,000 "
PAPH2093454,MUL,ACT,948-52 N 8th St,Philadelphia,"Philadelphia, PA",4,Other,3/11/2022,Compass RE (COMPASS2),"$3,100,000 "
PAPH2090608,MUL,ACT,1904 N 2nd St,Philadelphia,"Philadelphia, PA",4,Quadruplex,3/7/2022,RE/MAX Plus (55821),"$575,000 "
PADE2020438,MUL,ACT,223 Walnut St,Darby,"Delaware, PA",4,Quadruplex,3/5/2022,Realty Mark Associates-CC (RLTYMKCC),"$455,000 "
PAPH2086760,MUL,ACT,5816-22 N 4th St,Philadelphia,"Philadelphia, PA",1,Other,2/22/2022,Philadelphia Homes (PHILLYH1),"$245,000 "
PAPH2084434,MUL,ACT,842 Hoffman Pl,Philadelphia,"Philadelphia, PA",1,Other,2/16/2022,Ergo Real Estate Company (55617),"$899,990 "
PAPH2085208,MUL,ACT,1228 W Allegheny Ave,Philadelphia,"Philadelphia, PA",4,Other,2/18/2022,Keller Williams Philly (55962),"$4,050,000 "
PAPH2085200,MUL,ACT,1230 W Allegheny Ave,Philadelphia,"Philadelphia, PA",4,Other,2/18/2022,Keller Williams Philly (55962),"$4,050,000 "
PAPH2085196,MUL,ACT,1234 W Allegheny Ave,Philadelphia,"Philadelphia, PA",4,Other,2/18/2022,Keller Williams Philly (55962),"$4,050,000 "
PAPH2085194,MUL,ACT,1242 W Allegheny Ave,Philadelphia,"Philadelphia, PA",4,Other,2/18/2022,Keller Williams Philly (55962),"$4,050,000 "
PAPH2085184,MUL,ACT,1302 W Allegheny Ave,Philadelphia,"Philadelphia, PA",4,Other,2/18/2022,Keller Williams Philly (55962),"$4,050,000 "
PAPH2085180,MUL,ACT,1305 W Allegheny Ave,Philadelphia,"Philadelphia, PA",4,Other,2/18/2022,Keller Williams Philly (55962),"$4,050,000 "
PAPH2085178,MUL,ACT,1307 W Allegheny Ave,Philadelphia,"Philadelphia, PA",4,Other,2/18/2022,Keller Williams Philly (55962),"$4,050,000 "
PAPH2085176,MUL,ACT,1309 W Allegheny Ave,Philadelphia,"Philadelphia, PA",4,Other,2/18/2022,Keller Williams Philly (55962),"$4,050,000 "
PAPH2085168,MUL,ACT,1311 W Allegheny Ave,Philadelphia,"Philadelphia, PA",4,Other,2/18/2022,Keller Williams Philly (55962),"$4,050,000 "
PAPH2082492,MUL,ACT,1801 Cecil B Moore Ave,Philadelphia,"Philadelphia, PA",4,Other,2/22/2022,Keller Williams Philadelphia (KELWLMCC),"$7,200,000 "
PAPH2085064,MUL,ACT,1313 W Allegheny Ave,Philadelphia,"Philadelphia, PA",4,Other,2/17/2022,Keller Williams Philly (55962),"$4,050,000 "
PAPH2084982,MUL,ACT,1315 W Allegheny Ave,Philadelphia,"Philadelphia, PA",4,Other,2/17/2022,Keller Williams Philly (55962),"$4,050,000 "
PAPH2071560,MUL,ACT,122 E Hortter St,Philadelphia,"Philadelphia, PA",1,Other,1/21/2022,"Compass Pennsylvania, LLC (COMPASS12)","$11,400,000 "
PAPH2071522,MUL,ACT,1901 E Cumberland St,Philadelphia,"Philadelphia, PA",3,Other,1/21/2022,RE/MAX Truist (RMTRU1),"$439,900 "
PAPH2060050,MUL,ACT,864 N 40th St,Philadelphia,"Philadelphia, PA",3,Other,12/28/2021,Keller Williams Philadelphia (KELWLMCC),"$279,900 "
PAPH2051916,MUL,ACT,4438 Chestnut St,Philadelphia,"Philadelphia, PA",1,Other,12/6/2021,Keller Williams Philly (55962),"$995,000 "
PAPH2040778,MUL,ACT,6035 Germantown Ave,Philadelphia,"Philadelphia, PA",4,Other,10/28/2021,Coldwell Banker Realty (CBPREOC),"$549,000 "
PAPH2030146,MUL,ACT,1822-28 E Allegheny Ave,Philadelphia,"Philadelphia, PA",4,Other,9/13/2021,Keller Williams Philadelphia (KELWLMCC),"$510,000 "
PAMC2002058,MUL,ACT,735 Valley Rd,Elkins Park,"Montgomery, PA",4,Other,6/25/2021,RE/MAX Services (RMSERVS),"$699,900 "
PAPH1021242,MUL,ACT,1810 Frankford Ave,Philadelphia,"Philadelphia, PA",3,Other,5/24/2021,Keller Williams Main Line (KELWLMML),"$819,000 "
PAPH1015934,MUL,ACT,3423-29 Frankford Ave,Philadelphia,"Philadelphia, PA",3,Quadruplex,5/16/2021,Kurfiss Sotheby's International Realty (KURFPHIL),"$649,000 "
PAPH1017564,MUL,ACT,611 W Norris St,Philadelphia,"Philadelphia, PA",4,Quadruplex,5/13/2021,Anchor Realty Northeast (HELPYCR),"$378,500 "
PAPH1016270,MUL,ACT,1433 W Girard Ave,Philadelphia,"Philadelphia, PA",4,Quadruplex,5/10/2021,Philly Real Estate (COTTMAN),"$779,000 "
PAPH1010550,MUL,ACT,208 S 3rd St,Philadelphia,"Philadelphia, PA",3,Other,4/27/2021,BHHS Fox & Roach The Harper at Rittenhouse Square (61007),"$879,900 "
PAPH1004994,MUL,ACT,3142-46 N Broad St,Philadelphia,"Philadelphia, PA",3,Other,4/9/2021,RE/MAX Access (RMACCS),"$2,500,000 "
PAPH991946,MUL,ACT,1934 W Ontario St,Philadelphia,"Philadelphia, PA",4,Other,3/2/2021,Keller Williams Main Line (KELWLMML),"$285,000 "
PAPH990966,MUL,ACT,6601 Guyer Ave,Philadelphia,"Philadelphia, PA",4,Other,3/10/2021,Keller Williams Main Line (KELWLMML),"$345,000 "
PAPH863570,MUL,ACT,815 S 4th St,Philadelphia,"Philadelphia, PA",3,Other,1/12/2020,BHHS Fox & Roach-Center City Walnut (61039),"$799,900 "
